CATALOG NUMBER,SVL,Ventrals,lat,long,,,,,,
R-114529,94.5,199,35.61806,-118.47222,,,,,,
R-9216,107.5,196,34.039198,-118.280589,,,,,,
R-114530,72.6,194,36.291271,-118.014859,,,,,,
R-62116,97.5,195,34.605387,-117.830234,,,,,,
R-9137,91.6,196,33.78633,-116.961611,,,,,,
R-20658,94.3,194,34.78011,-116.31057,,,,,,
R-115602,64.2,202,36.284109,-115.829716,,,,,,
R-108162,39,185,35.160637,-113.958033,,,,,,
R-96951,88.4,196,27.568576,-113.561468,,,,,,
R-162204,91.6,199,32.970862,-112.671761,,,,,,
R-135259,87.5,190,33.383664,-112.399334,,,,,,
R-135260,81.8,201,33.383664,-112.399334,,,,,,
R-158848,50.2,197,33.469692,-112.083858,,,,,,
R-26010,122.5,198,32.389135,-110.961226,,,,,,
R-158847,65.7,197,31.392048,-110.958397,,,,,,
R-26000,88.9,195,32.407252,-110.947569,,,,,,
R-26003,99.6,200,32.407252,-110.947569,,,,,,
R-26004,100.4,193,32.407252,-110.947569,,,,,,
R-26005,100.8,199,32.407252,-110.947569,,,,,,
R-26006,105,199,32.407252,-110.947569,,,,,,
R-26007,92,197,32.407252,-110.947569,,,,,,
R-26008,92.1,202,32.407252,-110.947569,,,,,,
R-27638,114.2,196,32.407252,-110.947569,,,,,,
R-26009,86.7,195,32.268016,-110.942858,,,,,,
R-62100,108.4,194,32.216908,-110.921229,,,,,,
R-62251,111,197,32.216908,-110.921229,,,,,,
R-62252,127.6,191,32.216908,-110.921229,,,,,,
R-80818,96,201,31.360025,-110.90956,,,,,,
R-62732,107.3,198,32.258266,-110.741819,,,,,,
R-62932,66.4,202,32.258266,-110.741819,,,,,,
R-99370,108.6,197,29.479926,-110.728651,,,,,,
R-84979,200.4,196,30.9036,-110.619519,,,,,,
R-63998,99.7,196,31.48916,-110.408144,,,,,,
R-15075,78.9,191,32.239781,-110.328861,,,,,,
R-87968,105.7,204,23.993786,-110.289432,,,,,,
R-15072,87.6,198,31.335602,-110.230336,,,,,,
R-15074,102.5,208,31.334186,-110.188306,,,,,,
R-67273,118.8,199,31.105058,-110.039724,,,,,,
R-67272,97.8,200,30.724854,-109.99905,,,,,,
R-120699,108.8,199,31.944317,-109.956869,,,,,,
R-114034,103.4,200,32.115973,-109.756311,,,,,,
R-75128,107.6,201,31.485031,-109.575866,,,,,,
R-149978,82.4,202,31.400893,-109.503439,,,,,,
R-100630,95.7,196,31.402431,-109.503095,,,,,,
R-139224,94.3,198,31.413639,-109.492624,,,,,,
R-136381,86.3,203,31.421111,-109.490049,,,,,,
R-139223,96.9,200,31.461093,-109.454858,,,,,,
R-142215,97,193,31.464608,-109.452799,,,,,,
R-102527,94.3,204,31.486202,-109.437521,,,,,,
R-142603,94.2,194,31.490565,-109.426846,,,,,,
R-139225,104.1,198,31.488032,-109.419153,,,,,,
R-142216,101.8,203,32.309109,-109.400988,,,,,,
R-138221,64.3,197,31.339188,-109.356668,,,,,,
R-111195,102.4,203,32.752634,-109.336666,,,,,,
R-143047,209.2,203,31.497737,-109.327797,,,,,,
R-138218,101.2,200,31.508788,-109.312777,,,,,,
R-142602,101.7,199,31.529787,-109.29604,,,,,,
R-146739,125.9,197,31.538712,-109.2878,,,,,,
R-141027,96.9,202,31.55495,-109.267372,,,,,,
R-143046,93,195,31.598092,-109.234585,,,,,,
R-162205,93.7,202,32.010051,-109.188066,,,,,,
R-141023,67,203,32.059699,-109.180255,,,,,,
R-136147,80.4,197,32.065259,-109.179736,,,,,,
R-139232,88.2,201,32.079441,-109.177161,,,,,,
R-153359,82.1,204,32.193351,-109.175899,,,,,,
R-141022,84.8,197,32.164822,-109.175277,,,,,,
R-139231,93.2,197,32.112307,-109.174758,,,,,,
R-87297,107.3,194,31.556018,-109.168464,,,,,,
R-84989,98.5,201,31.914048,-109.124841,,,,,,
R-91623,94,196,31.90515,-109.105089,,,,,,
R-163021,105.2,198,31.908871,-109.087607,,,,,,
R-141021,55.8,200,31.756958,-109.086434,,,,,,
R-130301,79.6,197,31.884054,-109.070135,,,,,,
R-141020,94.2,197,31.589502,-109.055499,,,,,,
R-153846,89.2,198,31.856588,-109.031706,,,,,,
R-80819,57.5,194,31.835645,-109.031685,,,,,,
R-146741,88.5,201,31.842626,-109.027737,,,,,,
R-84990,115.5,197,31.91879,-109.020941,,,,,,
R-146742,92.6,205,31.93773,-108.965494,,,,,,
R-64236,112,200,27.024881,-108.939917,,,,,,
R-77454,67,197,31.618971,-108.790825,,,,,,
R-87299,96.2,198,32.57046,-108.732087,,,,,,
R-87298,83.7,200,32.543087,-108.73102,,,,,,
R-77435,95.8,204,31.426969,-108.557901,,,,,,
R-79060,89.8,201,31.426969,-108.557901,,,,,,
R-80035,69.2,200,31.477419,-108.539739,,,,,,
R-138261,123.7,198,30.950054,-108.155254,,,,,,
R-142599,97.1,205,32.045472,-107.706077,,,,,,
R-90730,89.2,200,24.363076,-107.370387,,,,,,
R-141024,96.1,194,32.033282,-106.455586,,,,,,
R-68331,61.7,196,26.447261,-105.495897,,,,,,
