"Name","Disc. Date","mmax","Mmax","Host Name","Airmass","Vsky","z","v☉ (km/s)","Type"
"SN1987A","1987/02/24","1.9","-16.3","LMC","","","9.51e-06,9.78e-06,1.02e-05,1.06e-05,1.07e-05,1.11e-05,1.12e-05,1.13e-05,1.14e-05,1.15e-05,1.16e-05,1.17e-05,1.19e-05,1.22e-05","320","II Pec"
"SN2003dh","2003/03/31","12.62","-26.823","A104450+2131","5.27279960299261","17.01719184983586","0.1685","46310","Ic BL"
"SN2011fe","2011/08/24","9.48","-18.28","NGC 5457","1.1622130210484753","18.715714214840467","0.000804","240","Ia"
"SN1993J","1993/03/28","9.91","-17.4","NGC 3031","1.6657671168525106","18.614377288530406","-0.000113","-35","IIb"
"SN2002ap","2002/01/29","12.04","-17.81","NGC 628","","","0.002108","632","Ic BL"
"SN2009ip","2012/07/24","12.01","-20.094","NGC 7259","","","0.005944","1718","LBV to IIn"
"SN2011dh","2011/06/01","12.06","-17.242","NGC 5194","1.258872755859319","18.468839017121965","0.001638","461","IIb"
"SN1999em","1999/10/29","12.8","-16.6","NGC 1637","","","0.002392","710","II P"
"SN2000cx","2000/07/17","12.9","-19.3","NGC 524","","","0.007929,0.008076","2421","Ia Pec"
"SN1999ee","1999/10/07","14.5","-18.6","IC 5179","","","0.01141,0.01141","3407","Ia"
"SN1998bu","1998/05/09","11.44","-18.5","NGC 3368","12.687623388292614","16.665261552769245","0.002992","943","Ia"
"SN2013dy","2013/07/10","12.8","-18.381","NGC 7250","1.6561388293261121","18.467624858530673","0.003889","1165","Ia"
"ASASSN-14ha","2014/09/10","12.23","-19.505","NGC 1566","","","0.005017","1500","II"
"SN2007af","2007/03/01","13.05","-18.3","NGC 5584","2.0227343952697914","17.685510665877842","0.005464,0.005464","1602","Ia"
"SN2013ej","2013/07/25","11.61","-18.29","NGC 628","","","0.002192","632","II P"
"SN2010jl","2010/11/03","11.79","-21.6","UGC 5189A","","","0.0107","3300","IIn"
"SN2014J","2014/01/21","9.71","-17.67","NGC 3034","1.6501493547310604","18.62891676428451","0.000677,0.000739,0.000841","300","Ia"
"SN2012aw","2012/03/16","11.98","-18.322","NGC 3351","14.366470286742382","16.673458184428004","0.002595","771","II P"
"SN2015bn","2015/02/15","15.69","-22.874","SDSS J113341.53+004333.2","13.123650857387085","16.172902135514043","0.1136","32130","Ic"
"PTF12hsx","2012/08/14","17.46","-17.2","SDSS J005503.33+421954.0","3.5401261503167616","17.872402939363663","0.019,0.019","5600","II"
"Gaia16apu","2016/05/21","15.54","","","1.1522001264696013","19.06751012797171","","",""
"SN2009dc","2009/04/09","14.53","-20.382","UGC 10064","1.1214715908289714","18.760130305582173","0.02158","6416","Ia Pec"
"Gaia16ael","2016/02/17","15.24","","","1.0254658753480925","19.11614911672075","","","Candidate"
"SN2005bf","2005/04/05","15.36","-19.2644","MCG +00-27-05","","","0.018913","5704","Ib"
"SN2004eo","2004/09/17","15.14","-18.5","NGC 6928","1.771151933322666","18.48147384443424","0.014734,0.015701","4712","Ia"
